GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bibliothek 10010,io.papermc.bibliothek.controller.v2,ProjectController.ProjectResponse,37,0,0,0,6,0,2,0,2,0
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionFamilyController.VersionFamilyResponse,32,0,0,0,6,0,2,0,2,0
bibliothek 10010,io.papermc.bibliothek.controller.v2,DownloadController.JavaArchive,35,0,0,0,8,0,2,0,2,0
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionBuildsController.BuildsResponse.VersionBuild,21,0,0,0,1,0,1,0,1,0
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionBuildController.BuildResponse,52,0,0,0,11,0,2,0,2,0
bibliothek 10010,io.papermc.bibliothek.controller.v2,ProjectsController,0,20,0,0,0,6,0,3,0,3
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionController,33,17,0,0,4,6,1,2,1,2
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionFamilyController,33,17,0,0,4,6,1,2,1,2
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionFamilyBuildsController,48,20,0,0,6,7,1,2,1,2
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionFamilyBuildsController.VersionFamilyBuildsResponse,64,0,0,0,15,0,3,0,3,0
bibliothek 10010,io.papermc.bibliothek.controller.v2,DownloadController,83,20,4,0,15,7,3,2,1,2
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionFamilyBuildsController.VersionFamilyBuildsResponse.VersionFamilyBuild,24,0,0,0,1,0,1,0,1,0
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionBuildController,37,17,0,0,4,6,1,2,1,2
bibliothek 10010,io.papermc.bibliothek.controller.v2,ProjectController,27,17,0,0,4,6,1,2,1,2
bibliothek 10010,io.papermc.bibliothek.controller.v2,ProjectsController.ProjectsResponse,0,15,0,0,0,2,0,2,0,2
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionController.VersionResponse,30,0,0,0,6,0,2,0,2,0
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionBuildsController,33,17,0,0,4,6,1,2,1,2
bibliothek 10010,io.papermc.bibliothek.controller.v2,VersionBuildsController.BuildsResponse,46,0,0,0,13,0,3,0,3,0
bibliothek 10010,io.papermc.bibliothek.configuration,AppConfiguration,15,16,0,0,7,6,4,5,4,5
bibliothek 10010,io.papermc.bibliothek.configuration,WebConfiguration,0,7,0,0,0,2,0,2,0,2
bibliothek 10010,io.papermc.bibliothek.configuration,MongoConfiguration,0,25,0,0,0,6,0,2,0,2
bibliothek 10010,io.papermc.bibliothek.configuration,OpenAPIConfiguration,10,40,1,1,1,12,1,4,0,4
bibliothek 10010,io.papermc.bibliothek,BibliothekApplication,0,8,0,0,0,3,0,2,0,2
bibliothek 10010,io.papermc.bibliothek.controller,RootController,8,3,0,0,3,1,1,1,1,1
bibliothek 10010,io.papermc.bibliothek.util,HTTP,8,19,0,0,1,5,1,3,1,3
bibliothek 10010,io.papermc.bibliothek.util,BringOrderToChaos,44,0,4,0,8,0,6,0,4,0
bibliothek 10010,io.papermc.bibliothek.exception,DownloadNotFound,3,0,0,0,1,0,1,0,1,0
bibliothek 10010,io.papermc.bibliothek.exception,VersionNotFound,3,0,0,0,1,0,1,0,1,0
bibliothek 10010,io.papermc.bibliothek.exception,ProjectNotFound,0,3,0,0,0,1,0,1,0,1
bibliothek 10010,io.papermc.bibliothek.exception,DownloadFailed,4,0,0,0,2,0,1,0,1,0
bibliothek 10010,io.papermc.bibliothek.exception,BuildNotFound,3,0,0,0,1,0,1,0,1,0
bibliothek 10010,io.papermc.bibliothek.exception,Advice,20,27,0,0,4,8,4,4,4,4
bibliothek 10010,io.papermc.bibliothek.filter,CorsFilter,0,19,0,0,0,6,0,2,0,2
bibliothek 10010,io.papermc.bibliothek.database.model,Build.Channel,0,15,0,0,0,3,0,1,0,1
bibliothek 10010,io.papermc.bibliothek.database.model,Project,0,12,0,0,0,1,0,1,0,1
bibliothek 10010,io.papermc.bibliothek.database.model,VersionFamily,18,0,0,0,2,0,2,0,2,0
bibliothek 10010,io.papermc.bibliothek.database.model,Build.Download,9,0,0,0,1,0,1,0,1,0
bibliothek 10010,io.papermc.bibliothek.database.model,Build.Change,12,0,0,0,1,0,1,0,1,0
bibliothek 10010,io.papermc.bibliothek.database.model,Build,44,0,0,0,3,0,3,0,3,0
bibliothek 10010,io.papermc.bibliothek.database.model,Version,21,0,0,0,2,0,2,0,2,0
