GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
familie-ba-sak 10110,default,SammenliknbarTidslinjeKt,12,0,0,0,1,0,1,0,1,0
familie-ba-sak 10110,default,UtbetalingsperiodeUtilKt.hentPerioderMedUtbetaling.andelerSplittetOppTidslinje.new Function2() {...},11,0,2,0,3,0,2,0,1,0
familie-ba-sak 10110,default,UtbetalingsperiodeUtilKt.hentPerioderMedUtbetaling.alleAndelerKombinertTidslinje.new Function1() {...},5,0,0,0,1,0,1,0,1,0
familie-ba-sak 10110,default,UtbetalingsperiodeUtilKt.hentPerioderMedUtbetaling.alleAndelerKombinertTidslinje.new Function1() {...},23,0,8,0,1,0,5,0,1,0
familie-ba-sak 10110,default,BrevEøsBegrunnelseProdusentKt,374,0,30,0,51,0,20,0,4,0
familie-ba-sak 10110,default,Landkode,39,0,2,0,5,0,4,0,3,0
familie-ba-sak 10110,default,SammenliknbarTidslinjeKt.minsteAvHver.new Function2() {...},10,0,0,0,1,0,1,0,1,0
familie-ba-sak 10110,default,UtbetalingsperiodeUtilKt,73,0,0,0,16,0,1,0,1,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,Identkonverterer,43,0,4,0,5,0,4,0,2,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,PersonidentService,612,46,58,0,91,8,41,5,12,5
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,AktørKt,11,0,0,0,1,0,2,0,2,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,Personident,135,9,10,0,24,1,16,1,11,1
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,PersonidentService.Companion,2,0,0,0,1,0,1,0,1,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,Aktør,115,9,6,0,19,1,12,1,9,1
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,IdentController,15,9,0,0,2,3,1,1,1,1
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,IdentHendelseTask,33,21,0,0,4,4,4,2,4,2
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.personident,IdentHendelseTask.Companion,50,0,0,0,8,0,1,0,1,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.brev.mottaker,BrevmottakerController,83,21,0,0,19,5,3,1,3,1
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.brev.mottaker,MottakerType,3,43,0,0,0,5,1,2,1,2
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.brev.mottaker,Brevmottaker,186,0,8,0,29,0,25,0,21,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.brev.mottaker,BrevmottakerService,337,33,16,0,71,7,19,1,11,1
familie-ba-sak 10110,no.nav.familie.ba.sak.integrasjoner.ef,EfSakRestClient.hentPerioderMedFullOvergangsstønad.lambda.0..inlined.postForEntity.default.new Function0() {...},24,0,0,0,1,0,1,0,1,0
familie-ba-sak 10110,no.nav.familie.ba.sak.integrasjoner.ef,EfSakRestClient,25,14,0,0,5,3,1,1,1,1
familie-ba-sak 10110,no.nav.familie.ba.sak.integrasjoner.ef,EfSakRestClient.hentPerioderMedFullOvergangsstønad.lambda.0..inlined.postForEntity.default.1.new ParameterizedTypeReference() {...},3,0,0,0,1,0,1,0,1,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.endretutbetaling.domene,Årsak,3,43,0,0,0,5,1,2,1,2
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.endretutbetaling.domene,UtfyltEndretUtbetalingAndel,78,0,0,0,10,0,10,0,10,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.endretutbetaling.domene,EndretUtbetalingAndel,279,0,28,0,45,0,39,0,25,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.endretutbetaling.domene,EndretUtbetalingAndelKt,263,0,12,0,58,0,11,0,5,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.endretutbetaling.domene,UtfyltEndretUtbetalingAndelDeltBosted,87,0,0,0,11,0,11,0,11,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.endretutbetaling.domene,TomEndretUtbetalingAndel,15,0,0,0,3,0,3,0,3,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,AutobrevOpphørSmåbarnstilleggService,132,48,10,0,39,9,8,2,3,2
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,AutobrevTask,109,33,0,0,25,6,7,2,7,2
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,AutobrevScheduler,50,49,6,0,10,11,4,5,1,5
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,Autobrev6og18ÅrService,359,48,48,0,67,9,32,2,8,2
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,AutovedtakBrevService,191,60,10,0,54,11,11,2,6,2
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,AutovedtakBrevServiceKt,50,0,4,0,11,0,4,0,1,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,AutobrevTask.opprettTaskerForReduksjonSmåbarnstillegg.berørteFagsaker.new Function1() {...},13,0,0,0,2,0,1,0,1,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,Alder,32,0,0,0,3,0,3,0,3,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,AutovedtakBrevService.Companion,2,0,0,0,1,0,1,0,1,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.omregning,AutobrevUtils,76,0,8,0,14,0,6,0,2,0
familie-ba-sak 10110,no.nav.familie.ba.sak.integrasjoner.organisasjon,OrganisasjonService,10,9,0,0,2,2,1,1,1,1
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.eøs.differanseberegning.domene,KronerPerValutaenhet,21,0,0,0,3,0,3,0,3,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.eøs.differanseberegning.domene,Valutabeløp,21,0,0,0,3,0,3,0,3,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.eøs.differanseberegning.domene,Intervall,0,31,0,0,0,4,0,1,0,1
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.eøs.differanseberegning.domene,ValutaberegningKt,65,0,18,0,11,0,12,0,3,0
familie-ba-sak 10110,no.nav.familie.ba.sak.kjerne.autovedtak.satsendring,SatsendringStatistikk,85,40,0,0,32,7,2,2,2,2
