GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
features-service 10130,org.javiermf.features.models,Product,45,74,2,8,10,19,5,12,4,8
features-service 10130,org.javiermf.features.models,QFeature,31,58,5,1,6,11,6,3,3,3
features-service 10130,org.javiermf.features.models,ProductConfiguration,6,98,0,2,1,31,1,16,1,15
features-service 10130,org.javiermf.features.models,Feature,38,42,6,0,10,13,7,7,4,7
features-service 10130,org.javiermf.features.models,QProduct,34,71,0,0,2,9,1,3,1,3
features-service 10130,org.javiermf.features.models,QProductConfiguration,31,58,5,1,6,11,6,3,3,3
features-service 10130,org.javiermf.features.daos,ProductsConfigurationsDAO,0,132,0,2,0,28,0,8,0,7
features-service 10130,org.javiermf.features.daos,ProductsDAO,0,159,0,4,0,35,0,12,0,10
features-service 10130,org.javiermf.features.services,ProductsConfigurationsService,34,107,4,2,7,26,3,9,0,9
features-service 10130,org.javiermf.features.services,ProductsService,10,172,1,5,2,45,1,14,0,12
features-service 10130,org.javiermf.features.models.evaluation,ConfigurationEvaluator,26,40,4,4,5,9,3,4,0,3
features-service 10130,org.javiermf.features.models.evaluation,EvaluationResult,0,16,0,0,0,4,0,1,0,1
features-service 10130,org.javiermf.features.services.rest,ProductsConstraintsResource,0,63,0,0,0,7,0,4,0,4
features-service 10130,org.javiermf.features.services.rest,ProductsResource,0,46,0,0,0,10,0,8,0,8
features-service 10130,org.javiermf.features.services.rest,ProductsConfigurationResource,0,48,0,0,0,8,0,6,0,6
features-service 10130,org.javiermf.features.services.rest,ProductsFeaturesResource,0,47,0,0,0,7,0,5,0,5
features-service 10130,org.javiermf.features.services.rest,ProductsConfigurationFeaturesResource,18,48,2,2,3,7,3,3,1,3
features-service 10130,org.javiermf.features,JerseyConfig,0,48,0,0,0,15,0,2,0,2
features-service 10130,org.javiermf.features,Application,0,8,0,0,0,3,0,2,0,2
features-service 10130,org.javiermf.features,CORSFilter,1,36,1,1,1,11,2,3,1,3
features-service 10130,org.javiermf.features.models.constraints,QConstraintRequires,79,0,4,0,17,0,8,0,6,0
features-service 10130,org.javiermf.features.models.constraints,QFeatureConstraint,31,40,5,1,6,8,6,3,3,3
features-service 10130,org.javiermf.features.models.constraints,QConstraintExcludes,79,0,4,0,17,0,8,0,6,0
features-service 10130,org.javiermf.features.models.constraints,FeatureConstraint,4,10,0,0,2,4,1,3,1,3
features-service 10130,org.javiermf.features.models.constraints,ConstraintRequires,19,27,3,1,6,11,4,6,2,6
features-service 10130,org.javiermf.features.models.constraints,ConstraintExcludes,34,27,3,1,7,11,4,6,2,6
features-service 10130,org.javiermf.features.exceptions,WrongProductConfigurationException,13,0,0,0,2,0,1,0,1,0
features-service 10130,org.javiermf.features.exceptions,DuplicatedObjectException,0,11,0,0,0,2,0,1,0,1
features-service 10130,org.javiermf.features.exceptions,ObjectNotFoundException,0,11,0,0,0,2,0,1,0,1
