GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pay-publicapi 10310,uk.gov.pay.api.utils,JsonStringBuilder,158,0,12,0,44,0,18,0,12,0
pay-publicapi 10310,uk.gov.pay.api.utils,PathHelper,25,0,6,0,7,0,5,0,2,0
pay-publicapi 10310,uk.gov.pay.api.utils,WalletDeserializer,27,0,0,0,7,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.utils,CustomSupportedLanguageDeserializer,12,0,0,0,5,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.model.search.card,RefundResult,9,0,0,0,3,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.model.search.card,PaymentSearchResponse,23,0,0,0,7,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.model.search.card,RefundForSearchResult,12,0,0,0,4,0,4,0,4,0
pay-publicapi 10310,uk.gov.pay.api.model.search.card,PaymentForSearchResult,152,0,6,0,38,0,8,0,5,0
pay-publicapi 10310,uk.gov.pay.api.model.search.card,RefundForSearchRefundsResult,105,0,0,0,32,0,13,0,13,0
pay-publicapi 10310,uk.gov.pay.api.model.search.card,SearchRefundsResults,33,0,0,0,12,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.model.search.card,RefundForSearchResult.Embedded,9,0,0,0,2,0,2,0,2,0
pay-publicapi 10310,uk.gov.pay.api.model.search.card,PaymentSearchResults,18,0,0,0,6,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.model.search.links,DDPaymentLinksForSearch,14,0,0,0,3,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.model.search,PaginationDecorator,230,14,4,0,45,5,13,1,11,1
pay-publicapi 10310,uk.gov.pay.api.app.config,RestClientConfig,11,12,0,0,3,4,1,2,1,2
pay-publicapi 10310,uk.gov.pay.api.app.config,StringToListConverter,2,18,1,1,1,6,1,2,0,2
pay-publicapi 10310,uk.gov.pay.api.app.config,RedisConfiguration,2,30,1,1,0,4,1,4,0,4
pay-publicapi 10310,uk.gov.pay.api.app.config,PublicApiModule,0,137,0,0,0,34,0,6,0,6
pay-publicapi 10310,uk.gov.pay.api.app.config,PublicApiConfig,7,30,0,0,2,10,2,10,2,10
pay-publicapi 10310,uk.gov.pay.api.app.config,RateLimiterConfig,35,12,0,0,9,4,9,4,9,4
pay-publicapi 10310,uk.gov.pay.api.model.telephone,CreateTelephonePaymentRequest.Builder,88,0,0,0,34,0,18,0,18,0
pay-publicapi 10310,uk.gov.pay.api.model.telephone,TelephonePaymentResponse.Builder,98,0,0,0,38,0,20,0,20,0
pay-publicapi 10310,uk.gov.pay.api.model.telephone,Supplemental,20,0,0,0,8,0,4,0,4,0
pay-publicapi 10310,uk.gov.pay.api.model.telephone,TelephonePaymentResponse,278,0,8,0,80,0,26,0,22,0
pay-publicapi 10310,uk.gov.pay.api.model.telephone,CreateTelephonePaymentRequest,385,0,0,0,77,0,34,0,34,0
pay-publicapi 10310,uk.gov.pay.api.model.telephone,PaymentOutcome,32,0,0,0,13,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.ledger.service,TransactionSearchService,289,20,8,0,62,7,13,1,9,1
pay-publicapi 10310,uk.gov.pay.api.ledger.service,TransactionSearchService.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
pay-publicapi 10310,uk.gov.pay.api.ledger.service,LedgerUriGenerator,154,6,2,0,24,3,11,1,10,1
pay-publicapi 10310,uk.gov.pay.api.service.telephone,CreateTelephonePaymentService,64,9,6,0,13,4,7,1,4,1
pay-publicapi 10310,uk.gov.pay.api.healthcheck,Ping,2,3,0,0,1,1,1,1,1,1
pay-publicapi 10310,uk.gov.pay.api.model.ledger,RefundTransactionFromLedger,30,0,0,0,10,0,10,0,10,0
pay-publicapi 10310,uk.gov.pay.api.model.ledger,SearchRefundsResponseFromLedger,23,0,0,0,7,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.model.ledger,SearchDisputesResponseFromLedger,23,0,0,0,7,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.model.ledger,DisputeTransactionFromLedger,33,0,0,0,11,0,11,0,11,0
pay-publicapi 10310,uk.gov.pay.api.model.ledger,DisputeSettlementSummary,12,0,0,0,5,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.model.ledger,TransactionState,24,0,0,0,10,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.model.ledger,RefundsFromLedger,9,0,0,0,3,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.filter,ClearMdcValuesFilter,1,11,0,0,1,6,1,3,1,3
pay-publicapi 10310,uk.gov.pay.api.filter,RateLimiterKey,61,0,2,0,16,0,6,0,5,0
pay-publicapi 10310,uk.gov.pay.api.filter,AuthorizationValidationFilter,12,140,5,9,5,31,6,10,1,8
pay-publicapi 10310,uk.gov.pay.api.filter,RateLimiterFilter,72,13,2,0,21,5,4,2,3,2
pay-publicapi 10310,uk.gov.pay.api.filter,LoggingMDCRequestFilter,94,3,0,0,18,1,10,1,10,1
pay-publicapi 10310,uk.gov.pay.api.validation,ExactLengthOrEmptyValidator,24,0,4,0,5,0,6,0,4,0
pay-publicapi 10310,uk.gov.pay.api.validation,RefundSearchValidator,82,0,2,0,20,0,3,0,2,0
pay-publicapi 10310,uk.gov.pay.api.validation,PaymentRefundRequestValidator,62,3,6,0,10,1,6,1,3,1
pay-publicapi 10310,uk.gov.pay.api.validation,ZoneDateTimeValidator,15,0,2,0,7,0,3,0,2,0
pay-publicapi 10310,uk.gov.pay.api.validation,NumericValidator,24,0,4,0,4,0,6,0,4,0
pay-publicapi 10310,uk.gov.pay.api.validation,ValidatorFactory,15,0,0,0,6,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.validation,PaymentOutcomeValidator,51,0,10,0,11,0,8,0,3,0
pay-publicapi 10310,uk.gov.pay.api.validation,CardLastFourDigitsValidator,17,0,2,0,5,0,3,0,2,0
pay-publicapi 10310,uk.gov.pay.api.validation,CardExpiryValidator,14,0,4,0,2,0,4,0,2,0
pay-publicapi 10310,uk.gov.pay.api.validation,InjectingValidationFeature.new AbstractBinder() {...},0,34,0,0,0,5,0,2,0,2
pay-publicapi 10310,uk.gov.pay.api.validation,InjectingValidationFeature,0,15,0,0,0,5,0,2,0,2
pay-publicapi 10310,uk.gov.pay.api.validation,SearchValidator,77,0,26,0,19,0,20,0,7,0
pay-publicapi 10310,uk.gov.pay.api.validation,DisputeSearchValidator,114,0,8,0,27,0,9,0,5,0
pay-publicapi 10310,uk.gov.pay.api.validation,AgreementSearchValidator,135,0,12,0,24,0,14,0,8,0
pay-publicapi 10310,uk.gov.pay.api.validation,MaxLengthValidator,14,0,4,0,2,0,4,0,2,0
pay-publicapi 10310,uk.gov.pay.api.validation,InjectingConfiguredValidator,4,0,0,0,2,0,1,0,1,0
pay-publicapi 10310,uk.gov.pay.api.validation,InjectingConstraintValidatorFactory,7,6,0,0,2,3,2,1,2,1
pay-publicapi 10310,uk.gov.pay.api.validation,CardTypeValidator,40,0,2,0,12,0,4,0,3,0
pay-publicapi 10310,uk.gov.pay.api.validation,URLValidator,16,53,1,1,2,12,2,4,1,4
pay-publicapi 10310,uk.gov.pay.api.validation,CardFirstSixDigitsValidator,17,0,2,0,5,0,3,0,2,0
pay-publicapi 10310,uk.gov.pay.api.validation,PaymentSearchValidator,214,0,22,0,48,0,22,0,11,0
pay-publicapi 10310,uk.gov.pay.api.model.search.dispute,DisputeForSearchResult,102,0,0,0,28,0,13,0,13,0
pay-publicapi 10310,uk.gov.pay.api.model.search.dispute,DisputesSearchResults,33,0,0,0,12,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.ledger.model,SearchResults,36,0,0,0,14,0,7,0,7,0
pay-publicapi 10310,uk.gov.pay.api.ledger.model,AgreementSearchParams,101,0,0,0,26,0,15,0,15,0
pay-publicapi 10310,uk.gov.pay.api.ledger.model,TransactionSearchParams,136,0,0,0,32,0,16,0,16,0
pay-publicapi 10310,uk.gov.pay.api.agreement.resource,AgreementsApiResource,60,10,0,0,12,4,4,2,4,2
pay-publicapi 10310,uk.gov.pay.api.resources.error,ApiErrorResponse.Code,33,0,0,0,8,0,4,0,4,0
pay-publicapi 10310,uk.gov.pay.api.resources.error,ApiErrorResponse,35,0,0,0,9,0,5,0,5,0
pay-publicapi 10310,uk.gov.pay.api.agreement.model,CreateAgreementRequest,109,0,14,0,21,0,15,0,8,0
pay-publicapi 10310,uk.gov.pay.api.agreement.model,AgreementLedgerResponse,34,0,0,0,12,0,11,0,11,0
pay-publicapi 10310,uk.gov.pay.api.agreement.model,Agreement.PaymentInstrument,37,0,0,0,9,0,5,0,5,0
pay-publicapi 10310,uk.gov.pay.api.agreement.model,AgreementCreatedResponse,16,0,0,0,7,0,4,0,4,0
pay-publicapi 10310,uk.gov.pay.api.agreement.model,AgreementSearchResults,33,0,0,0,12,0,6,0,6,0
pay-publicapi 10310,uk.gov.pay.api.agreement.model,AgreementLedgerResponse.PaymentInstrumentLedgerResponse,41,0,0,0,14,0,7,0,7,0
pay-publicapi 10310,uk.gov.pay.api.agreement.model,AgreementLedgerResponse.PaymentInstrumentLedgerResponse.Builder,33,0,0,0,12,0,7,0,7,0
pay-publicapi 10310,uk.gov.pay.api.agreement.model,Agreement,83,0,0,0,27,0,10,0,10,0
pay-publicapi 10310,uk.gov.pay.api.model.links,PaymentWithAllLinks.PaymentWithAllLinksBuilder,224,0,0,0,64,0,33,0,33,0
pay-publicapi 10310,uk.gov.pay.api.model.links,DisputeLinksForSearch,14,0,0,0,4,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.model.links,PaymentEventLink,18,0,0,0,5,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.model.links,PaymentLinksForSearch,58,0,0,0,16,0,11,0,11,0
pay-publicapi 10310,uk.gov.pay.api.model.links,RefundLinksForSearch,25,0,0,0,7,0,5,0,5,0
pay-publicapi 10310,uk.gov.pay.api.model.links,PaymentLinksForEvents,14,0,0,0,4,0,3,0,3,0
pay-publicapi 10310,uk.gov.pay.api.model.links,PaymentLinks,186,0,0,0,44,0,27,0,27,0
pay-publicapi 10310,uk.gov.pay.api.model.links,Link,77,0,10,0,17,0,13,0,8,0
pay-publicapi 10310,uk.gov.pay.api.model.links,PostLink,95,0,12,0,19,0,14,0,8,0
pay-publicapi 10310,uk.gov.pay.api.model.links,SearchNavigationLinks,58,0,0,0,16,0,11,0,11,0
pay-publicapi 10310,uk.gov.pay.api.model.links,PaymentWithAllLinks,186,0,6,0,46,0,8,0,5,0
pay-publicapi 10310,uk.gov.pay.api.agreement.service,AgreementsService,54,12,0,0,11,5,5,1,5,1
pay-publicapi 10310,uk.gov.pay.api.filter.ratelimit,RateLimit,59,0,4,0,16,0,6,0,4,0
pay-publicapi 10310,uk.gov.pay.api.filter.ratelimit,RedisException,3,0,0,0,1,0,1,0,1,0
pay-publicapi 10310,uk.gov.pay.api.filter.ratelimit,RateLimiter,16,13,0,0,6,5,1,2,1,2
pay-publicapi 10310,uk.gov.pay.api.filter.ratelimit,RateLimitManager,65,6,12,0,14,3,8,1,2,1
pay-publicapi 10310,uk.gov.pay.api.filter.ratelimit,LocalRateLimiter,72,28,2,0,16,9,4,2,3,2
