GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security,QuartzManagerSecurityConfig,14,226,6,6,3,43,7,16,1,16
quartz-manager 10370,it.fabioformosa.quartzmanager.api.jobs,AbstractQuartzManagerJob,31,0,0,0,9,0,3,0,3,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.exceptions,TriggerNotFoundException,5,0,0,0,2,0,1,0,1,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.exceptions,ResourceConflictException,6,0,0,0,2,0,1,0,1,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.controllers,UserController,20,3,4,0,4,1,3,1,1,1
quartz-manager 10370,it.fabioformosa.quartzmanager.jobs.myjobs,SampleJob,9,0,0,0,2,0,2,0,2,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.controllers,SimpleTriggerController,51,10,0,0,17,4,3,2,3,2
quartz-manager 10370,it.fabioformosa.quartzmanager.api.controllers,TriggerController,4,10,0,0,1,4,1,2,1,2
quartz-manager 10370,it.fabioformosa.quartzmanager.api.controllers,JobController,0,16,0,0,0,4,0,2,0,2
quartz-manager 10370,it.fabioformosa.quartzmanager.api.controllers,SchedulerController,8,37,0,0,4,14,0,7,0,7
quartz-manager 10370,it.fabioformosa.quartzmanager.api.controllers,WebsocketController,2,3,0,0,1,1,1,1,1,1
quartz-manager 10370,it.fabioformosa.quartzmanager.api.services,SchedulerService,4,22,0,0,2,7,1,4,1,4
quartz-manager 10370,it.fabioformosa.quartzmanager.api.services,TriggerService,19,9,0,0,4,4,1,1,1,1
quartz-manager 10370,it.fabioformosa.quartzmanager.api.services,AbstractSchedulerService,22,9,2,0,5,4,3,1,2,1
quartz-manager 10370,it.fabioformosa.quartzmanager.api.services,SimpleTriggerService,67,5,0,0,14,2,3,1,3,1
quartz-manager 10370,it.fabioformosa.quartzmanager.api.services,JobService,15,76,2,2,2,18,3,6,1,6
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,JwtTokenBasedAuthentication,3,17,0,0,1,7,1,4,1,4
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,JwtUsernamePasswordFiterLoginConfig,43,0,0,0,10,0,5,0,5,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,JwtAuthenticationFilter,19,0,0,0,7,0,2,0,2,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,FormLoginConfig,27,53,2,2,12,15,5,4,3,4
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,JwtTokenHelper,111,134,14,8,25,29,13,13,4,11
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,JwtAuthenticationSuccessHandlerImpl,37,82,3,3,7,21,3,4,0,4
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,AnonAuthentication,10,0,0,0,5,0,4,0,4,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,QuartzManagerHttpSecurity,14,61,3,3,2,17,3,5,0,5
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,AuthenticationSuccessHandler,0,19,0,0,0,7,0,3,0,3
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,LogoutSuccess,23,6,0,0,6,3,1,1,1,1
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,AuthenticationFailureHandler,0,3,0,0,0,1,0,1,0,1
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,RestAuthenticationEntryPoint,6,3,0,0,2,1,1,1,1,1
quartz-manager 10370,it.fabioformosa.quartzmanager.api.security.helpers.impl,JwtTokenAuthenticationFilter,15,138,2,4,3,25,2,5,0,4
quartz-manager 10370,it.fabioformosa.quartzmanager.api.common.utils,DateUtils,22,0,0,0,3,0,3,0,3,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.common.utils,Try,46,0,0,0,12,0,8,0,8,0
quartz-manager 10370,it.fabioformosa.quartzmanager.api.converters,SchedulerToSchedulerDTO,21,26,8,2,4,9,5,3,0,3
quartz-manager 10370,it.fabioformosa.quartzmanager.api.converters,TriggerToTriggerDTO,73,3,0,0,18,1,2,1,2,1
quartz-manager 10370,it.fabioformosa.quartzmanager.api.converters,SimpleTriggerCommandDTOToSimpleTrigger,98,3,16,0,26,1,12,1,2,1
