GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.quartz,AdHocScheduler,324,0,16,0,81,0,22,0,14,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.quartz,QuartzJobLauncher,75,0,2,0,19,0,4,0,3,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core.property,JobExecutionAspect,22,53,1,1,1,9,1,5,0,5
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core.property,JobPropertyResolvers,13,61,3,3,2,17,3,5,1,4
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core.property,JobPropertyResolver,0,59,0,0,0,9,0,3,0,3
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.job,JobResource,0,22,0,0,0,5,0,2,0,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.job,JobService,0,26,0,0,0,5,0,4,0,4
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.job,Job,55,27,13,1,0,3,10,3,3,3
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.job,JobController,0,39,0,0,0,4,0,3,0,3
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core.tasklet,StepExecutionListenerTasklet,19,0,0,0,6,0,4,0,4,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core.tasklet,RunnableTasklet,11,0,0,0,3,0,2,0,2,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core.tasklet,PropertyResolverConsumerTasklet,63,0,2,0,13,0,6,0,5,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core,JobConfig.JobConfigBuilder,201,0,19,0,1,0,18,0,8,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core,JobBuilder,70,28,0,0,8,5,5,2,5,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core,JobBuilder.new JobFactory() {...},0,13,0,0,0,3,0,3,0,3
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core,JobConfig,151,51,28,0,0,5,20,8,6,8
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core,JobParamsDetail,129,0,18,0,17,0,17,0,8,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core,AdHocStarter,58,151,5,3,12,29,5,5,2,4
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core,SpringBatchRestCoreAutoConfiguration,2,47,1,1,0,8,1,2,0,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.core.config,AdHocBatchConfig,1,23,0,0,1,6,1,2,1,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.example.core,PersonJobConfig.CacheItemWriter,7,15,0,0,3,4,2,2,2,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.example.core,PersonJobConfig.new BeanWrapperFieldSetMapper() {...},0,9,0,0,0,3,0,1,0,1
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.example.core,SpringBatchRestCoreSampleApplication,0,8,0,0,0,3,0,2,0,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.example.core,PersonJobConfig.Person,109,26,22,0,0,3,15,6,4,6
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.example.core,PersonJobConfig,11,169,5,5,0,32,5,12,0,12
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util,JobParamUtil,27,38,3,3,5,6,5,3,2,3
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util,DateUtil,3,10,0,2,1,3,1,2,1,1
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util,TriggerUtil,41,0,0,0,7,0,6,0,6,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution.provider,CachedJobExecutionProvider,3,194,0,4,1,25,1,10,1,8
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution.provider,JobExecutionProvider,6,19,2,2,1,4,2,2,0,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution.provider,CachedJobExecutionProvider.JobExecutions,0,77,0,2,0,13,0,5,0,4
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution.provider,AllJobExecutionProvider,0,150,0,2,0,16,0,9,0,8
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution,JobExecutionResource,0,22,0,0,0,5,0,2,0,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution,JobExecution.BatchStatusSerializer,0,8,0,0,0,3,0,2,0,2
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution,ResponseExceptionHandler.ApiError,176,57,38,0,1,6,27,6,8,6
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution,JobExecutionService,5,76,0,2,1,16,1,6,1,5
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution,JobExecutionController,2,89,1,5,0,16,1,7,0,5
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution,JobExecution.JobExecutionBuilder,52,70,0,0,0,1,1,11,1,11
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution,ResponseExceptionHandler,12,125,10,8,2,21,8,6,0,5
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.api.core.jobexecution,JobExecution,380,110,72,2,7,21,42,12,5,12
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.quartz.config,SchedulerConfig,22,0,0,0,5,0,2,0,2,0
spring-batch-rest 10550,com.github.chrisgleissner.springbatchrest.util.quartz.config,AdHocSchedulerConfig,3,0,0,0,1,0,1,0,1,0
