GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,GodkjentAvArbeidsgiver,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,RefusjonFristForlenget,66,0,12,0,2,0,11,0,5,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AnnullertAvVeileder,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AvtaleOpprettetAvVeileder,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,GodkjentAvVeileder,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,TilskuddsperiodeForkortet,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AvtaleForkortet,264,0,52,0,7,0,36,0,10,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,GodkjentPaVegneAvDeltaker,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,GodkjentPaVegneAvDeltakerOgArbeidsgiver,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,StillingsbeskrivelseEndret,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AvtaleGjenopprettet,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AvbruttAvVeileder,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,TilskuddsperiodeGodkjent,185,0,36,0,5,0,26,0,8,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AvtaleNyVeileder,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,InkluderingstilskuddEndret,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,GodkjentPaVegneAvArbeidsgiver,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,RefusjonKlarRevarsel,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,GodkjentForEtterregistrering,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,TilskuddsberegningEndret,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AvtaleForlenget,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AvtaleLåstOpp,66,0,12,0,2,0,11,0,5,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,AvtaleDeltMedAvtalepart,106,0,20,0,3,0,16,0,6,0
tiltaksgjennomforing 10630,no.nav.tag.tiltaksgjennomforing.avtale.events,TilskuddsperiodeAnnullert,106,0,20,0,3,0,16,0,6,0
